"Titulo","Ano","Duracao","Plataforma","Classificacao Indicativa","IMDb","Rotten Tomatoes","Enredo"
"The Legend of Michael Mishra",2016,"118 min","Netflix","16+","4.4/10",,"After a life of crime, a notorious kidnapper tries to change his ways and turn over a new leaf to win the heart of the woman he loves."
"The Little Mermaid",2018,"85 min","Netflix","7+","4.3/10",,"In this take on the classic tale, a captive circus mermaid transforms the lives of a skeptical journalist and his wide-eyed young sister."
"The Lives of Others",2006,"138 min","Netflix","18+","8.4/10",,"As a secret police agent eavesdrops on a successful writer in East Germany in 1984, he becomes increasingly fascinated by the man's life and politics."
"The Lobster",2015,"119 min","Netflix","18+","7.2/10",,"In a near-future world, single people are hunted and forced to find mates within 45 days, or be turned into animals and banished to the wilderness."
"The Lodgers",2017,"93 min","Netflix","18+","5.1/10",,"Twin siblings live under a curse in their ancestral home, but one of them is tempted to defy house rules, angering the spirits keeping them hostage."
"The Long Goodbye: The Kara Tippetts Story",2019,"87 min","Netflix","7+",,,"Faced with terminal breast cancer, a courageous wife and mother turns her suffering into a resilient message of faith, love and compassion."
"The Longest Yard",1974,"121 min","Netflix","18+","7.1/10",,"Washed-up professional quarterback Paul Crewe is sent to jail and forced to put together an inmate gridiron team to take on a group of prison guards."
"The Longshots",2008,"95 min","Netflix","7+","5.5/10",,"When an 11-year-old girl becomes Pop Warner football's first female quarterback, she raises eyebrows – till she takes her team to the brink of glory."
"The Look of Silence",2014,"103 min","Netflix","13+","8.3/10",,"In a society terrorized into silence, the brother of a 1960s Indonesian genocide victim learns the identity of his murderers and confronts them."
"The Lord of the Rings: The Return of the King",2003,"201 min","Netflix","13+","8.9/10",,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor."
"The Lord of the Rings: The Two Towers",2002,"179 min","Netflix","13+","8.7/10",,"Frodo and Sam head to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin."
"The Love Guru",2008,"87 min","Netflix","13+","3.8/10",,"Raised on an ashram in India, a self-styled love guru returns to his native America to settle a romantic rivalry between two pro hockey players."
"The Lovers and the Despot",2016,"98 min","Netflix","16+",,,"This firsthand account tells of two kidnapped South Korean movie professionals who became the unwilling personal filmmakers of dictator Kim Jong-il."
"The lynx",1982,"82 min","Netflix","16+",,,"A priest's duties are tested when a young guerrilla asks for absolution while confessing his plans to murder a local man he believes is a traitor."
"The Magic Pill",2017,"90 min","Netflix","7+","7.1/10",,"Doctors, farmers, chefs and others weigh in on the controversial ketogenic diet and its potential to eradicate common illnesses."
"The Man Who Would Be Polka King",2009,"68 min","Netflix","16+","6.3/10",,"This irreverent documentary reveals how charming entertainer Jan Lewan bilked investors out of millions in a complicated investment scam."
"The Matrix",1999,"136 min","Netflix","18+","8.7/10",,"A computer hacker learns that what most people perceive as reality is actually a simulation created by machines, and joins a rebellion to break free."
"The Matrix Reloaded",2003,"138 min","Netflix","18+","7.2/10",,"The crew must protect Zion, the last outpost still under human control, after it is pinpointed by the machines responsible for the Matrix."
"The Matrix Revolutions",2003,"129 min","Netflix","18+","6.8/10",,"The final installment in the Matrix trilogy finds an unconscious Neo trapped in a subway station in a zone between the Matrix and the machine world."
"The Mayo Clinic",2018,"116 min","Netflix","16+",,,"A look at how a world-renowned medical institution prioritizes patients' needs and has adapted to healthcare's evolving demands for over 150 years."
"The Mayor",2017,"130 min","Netflix","18+","5.6/10",,"With the presidency in mind, the incumbent mayor of Seoul runs for an unprecedented third term – and will stop at nothing to keep his secrets hidden."
"The Memphis Belle: A Story of a
Flying Fortress",1944,"40 min","Netflix","7+",,,"This documentary centers on the crew of the B-17 Flying Fortress Memphis Belle as it prepares to execute a strategic bombing mission over Germany."
"The Model",2016,"104 min","Netflix","18+","5.8/10",,"Danish teen Emma moves to Paris hoping to become a top model, but her dreams soon unravel when her affair with photographer Shane turns obsessive."
"The Monster",2016,"91 min","Netflix","18+","5.4/10",,"A troubled mother-daughter relationship faces the ultimate test when the duo’s broken-down car leaves them trapped within reach of a vicious creature."
"The Monster of Mangatiti",2015,"70 min","Netflix","18+","6.2/10",,"Real events are dramatized in the unthinkable story of a resilient teenager held prisoner by a seasoned predator on a remote farm in the 1980s."
"The Muppets",2011,"104 min","Netflix","7+","7.1/10",,"When the Muppets learn that their beloved theater is slated for demolition, the gang reunite to raise the $10 million they need to save it."
"The Naked Gun 2 1/2: The Smell of Fear",1991,"85 min","Netflix","13+",,,"Bumbling cop Frank Drebin is out to foil the big boys in the energy industry, who intend to suppress technology that would put them out of business."
"The Naked Gun: From the Files of Police Squad!",1988,"85 min","Netflix","13+","7.6/10",,"Hapless cop Frank Drebin causes more problems than he solves while trying to stop a deadly plot involving Queen Elizabeth II."
"The Negro Soldier",1944,"40 min","Netflix","16+","5.9/10",,"This documentary urged African Americans to enlist and join in the effort to be part of America's continuing fight in World War II."
"The New Romantic",2018,"82 min","Netflix","18+","5.7/10",,"Fed up with dating and debt, a naïve college senior documents her experience of being with a wealthy, older man for a gonzo journalism grant."
"The NSU-Complex",2016,"90 min","Netflix","16+","6.4/10",,"For 13 years, the underground neo-Nazi organization NSU eluded German police while planting bombs, robbing banks and killing immigrants at random."
"The Only Mother To You All",2008,"106 min","Netflix","7+",,,"Raising her large family alone after her husband's death, Ina searches for work and finally lands the most unlikely job: president of the Philippines."
"The Other Guys",2010,"108 min","Netflix","13+","6.7/10",,"New York cops Allen and Terry toil in obscurity as lowly desk jockeys until a big break finally gives them a chance to tackle real police work."
"The Parole Officer",2001,"94 min","Netflix","18+","6.4/10",,"After witnessing a murder, Simon Garden is framed – and the only evidence that proves his innocence is a videotape locked inside a bank vault."
"The Pass",2016,"87 min","Netflix","18+","6.5/10",,"The lives and careers of two professional soccer players are profoundly impacted by a single moment of intimacy that took place between them."
"The Peacemaker",1997,"124 min","Netflix","18+","6.0/10",,"After terrorists trigger a nuclear blast in Russia, a U.S. Special Forces intelligence agent and a nuclear weapons expert come to the rescue."
"The Perfect Day",2018,"93 min","Netflix","16+","3.0/10",,"French soccer fans, celebrities and athletes retrace the exhilarating events of July 12, 1998, as France earned a historic win in the World Cup final."
"The Perks of Being a Wallflower",2012,"103 min","Netflix","13+","7.9/10",,"A shy freshman struggling with depression deals with his best friend's suicide and his first love in this engaging coming-of-age tale."
"The Phantom of the Opera",2004,"141 min","Netflix","13+","7.2/10",,"In 1870, a disfigured recluse roams beneath a Parisian opera house and takes under his wing a young soprano, with whom a love triangle develops."
"The Physician",2013,"155 min","Netflix","18+","7.2/10",,"A medical apprentice in 11th-century Persia disguises himself as a Jew to study at a school that does not admit Christians."
"The Pink Panther",2006,"93 min","Netflix","7+","5.7/10",,"Bumbling Inspector Clouseau must solve the murder of a world-famous soccer coach and catch the thief who stole his priceless diamond ring."
"The Pirate Fairy",2014,"78 min","Netflix","all","6.6/10",,"In this spritely tale, Tinker Bell and her friends set out to find free-spirited fairy Zarina after she makes off with some precious Blue Pixie Dust."
"The Pirates of Somalia",2017,"118 min","Netflix","18+","6.8/10",,"An aspiring journalist travels to Somalia in hopes of making a name for himself by covering dangerous pirates and hijackers."
"The Pirates! Band of Misfits",2012,"88 min","Netflix","7+","6.7/10",,"An egotistical pirate captain strives to win the Pirate of the Year Award, but to snag the coveted prize, he'll have to outwit his dreaded rivals."
"The Place Beyond the Pines",2012,"140 min","Netflix","18+","7.3/10",,"A violent confrontation between a motorcycle-riding bank robber and a rookie cop spirals into a tense generational feud."
"The Plan",2015,"124 min","Netflix","18+",,,"After being sent to a remote prison, three young men suffer under the watchful eye of their jailer and make a meticulous plan to escape."
"The Player",2012,"110 min","Netflix","18+","4.7/10",,"To save his father’s company from bankruptcy, a rich, spoiled playboy is forced to wed a no-nonsense woman, who's just as unhappy to be marrying him."
"The Power of Grayskull: The Definitive History of He-Man and the Masters of the Universe",2017,"96 min","Netflix","16+","6.8/10",,"This colorful documentary explores the origins and impact of He-Man, a character whose power stretched well beyond a toy line and children's TV show."
"The President's Barber",2004,"116 min","Netflix","18+",,,"The personal barber to the president, as well as his wife and only son, get tangled in the political chaos that gripped South Korea in the late 1900s."
"The Prince",2014,"91 min","Netflix","18+","4.6/10",,"A former Mafia hit man living quietly as a mechanic veers back into his old world after his daughter is abducted and faces an old foe in New Orleans."
"The Prison",2017,"125 min","Netflix","18+","6.6/10",,"A cop-turned-convict discovers a crime syndicate inside a prison lorded over by an inmate crime boss – and joins in on their nightly heists."
"The Pursuit",2019,"76 min","Netflix","16+","6.2/10",,"In a time of turbulence for the free market system, one economist explores how it has lifted billions out of poverty, and might just save us all."
"The Pursuit of Happyness",2006,"117 min","Netflix","13+","8.0/10",,"When Chris and his son are evicted, they face trying times as a desperate Chris accepts an unpaid internship at a stock brokerage firm."
"The Push",2018,"90 min","Netflix","18+",,,"After a snowmobile accident paralyzed him, Grant Korgan became the first athlete with a spinal cord injury to push himself to the South Pole."
"The Rainbow Troops",2008,"119 min","Netflix","7+",,,"Two Indonesian teachers embrace an inspiring crop of gifted young students who've come to study at their crumbling Islamic primary school."
"The Rainmaker",1997,"136 min","Netflix","13+","7.2/10",,"A young attorney and a scrappy paralegal work to help the parents of a terminally ill boy in their suit against an insurance company."
"The Rat Race",2010,"52 min","Netflix","7+",,,"Examine the troublesome coexistence of humans and rodents in Mumbai, where the byproducts of a big economy have led to a thriving rat population."
"The Real Miyagi",2015,"81 min","Netflix","7+","7.1/10",,"A look at the life of karate master Fumio Demura shows how he spread the discipline in the West, winning countless devotees and influencing Hollywood."
"The Rebound",2016,"77 min","Netflix","18+","7.4/10",,"This documentary follows three players on the Miami Heat Wheels, who face long odds on the way to the national wheelchair basketball championship."
"The Redeemed and the Dominant: Fittest on Earth",2017,"120 min","Netflix","16+","7.1/10",,"Questions about endurance, doping and overall toughness surround a group of elite athletes as they compete fiercely at the Reebok Crossfit Games."
"The Rehearsal",2016,"102 min","Netflix","18+","5.7/10",,"A drama student is torn between creative possibility and ethical boundaries when his girlfriend's family gets caught up in a sex scandal."
"The Republic of Imbaba",2015,"90 min","Netflix","16+","4.7/10",,"Living on the edges of Cairo’s Embabah neighborhood, several residents seek to better their circumstances following the January 25 Revolution."
"The Rezort",2016,"90 min","Netflix","18+","5.3/10",,"After a global zombie war, the living dead are confined to a luxury island resort and hunted by tourists on safari – until the security system fails."
"The Rift: The Dark Side of the Moon",2016,"92 min","Netflix","18+","6.3/10",,"When a team of special agents is sent to recover the wreckage of a downed satellite in Serbia, their mission takes a horrifying turn."
"The Right One",2011,"93 min","Netflix","16+","6.4/10",,"Under pressure to marry, a rich playboy is conflicted between four women who each possess a different quality he desires in his ideal wife."
"The Riot Club",2014,"107 min","Netflix","18+","6.0/10",,"After being drafted into an elite secret society, a pair of students at Oxford University see the group's extreme debauchery spiral out of control."
"The River Thief",2016,"87 min","Netflix","18+","5.4/10",,"A heedless teen drifter who falls for a small-town waitress makes the mistake of robbing a drug lord, putting his life and newfound love in jeopardy."
"The River Wild",1994,"111 min","Netflix","13+","6.4/10",,"A turbulent vacation turns deadly when a fugitive and his crew kidnap a river rafting guide and her family, forcing them down the dangerous river."
"The Rolling Stones: Olé Olé Olé! A Trip Across Latin America",2016,"101 min","Netflix","18+",,,"Follow the Rolling Stones as the iconic group breaks new ground in Latin America, wrapping a 10-city tour as the first-ever rock band to play in Cuba."
"The Roommate",2011,"91 min","Netflix","13+","4.8/10",,"While acclimating to campus life, college freshman Sara begins to realize that her new roommate, Rebecca, is becoming obsessed with her."
"The Rover",2014,"103 min","Netflix","18+","6.4/10",,"Set in a chaotic future, this Outback saga follows loner Eric's brutal ordeal when a criminal gang takes his car and leaves him nowhere with nothing."
"THE RUM DIARY",2011,"120 min","Netflix","18+",,,"Johnny Depp stars in this adaptation of Hunter S. Thompson's novel about a boozy journalist who moves to Puerto Rico and falls for a taken woman."
"The Salvation",2014,"92 min","Netflix","18+","6.7/10",,"In the Old West, a Danish homesteader avenges the murder of his wife and son, only to unleash a gang leader's brutal fury."
"The Sapphires",2012,"99 min","Netflix","13+","7.1/10",,"Sisters Gail, Cynthia and Julie have talent, but their career takes off when promoter Dave convinces them to tour for U.S. troops in Vietnam."
"The Score",2001,"124 min","Netflix","18+","6.8/10",,"Ready-to-retire safecracker Nick, flamboyant fence Max and talented but volatile thief Jackie team up to rob the Montreal Customs House."
"The Sea of Trees",2015,"111 min","Netflix","13+","6.1/10",,"A brooding American unable to cope with personal crisis travels to ""suicide forest"" near Mount Fuji, where he meets a fellow lost wanderer."
"The Search for Life in Space",2016,"32 min","Netflix","all","6.4/10",,"To determine whether we're alone in the universe, astrobiologists look to Jupiter, Mars and, closer to home, extreme environments on Earth."
"The Secret Life of Pets 2",2019,"86 min","Netflix","7+","6.5/10",,"On a farm outside New York, Max aims to boost his confidence while in the city, Snowball attempts to rescue a tiger cub and Gidget pretends to be a cat."
"The Seven Five",2014,"104 min","Netflix","18+","7.6/10",,"This riveting film examines the case of Mike Dowd, a corrupt Brooklyn cop who became dirtier than the drug dealers he was supposed to be policing."
"The Shaukeens",2014,"123 min","Netflix","18+","4.9/10",,"Three sexually frustrated men in their 60s have the adventure of a lifetime after meeting an intriguing young woman during a holiday in Mauritius."
"The Show",2017,"105 min","Netflix","18+","5.6/10",,"A disillusioned reality TV host and an idealistic producer are lured by their network into producing a show in which participants kill themselves."
"The Sign of Venus",1955,"97 min","Netflix","16+","6.5/10",,"While suitors swoon over her cousin, a single woman takes initiative in finding herself a partner after receiving a favorable romantic fortune."
"The Signal",2014,"97 min","Netflix","13+","6.1/10",,"During their drive across the country, college pals Nick and Jonah – accompanied by Nick's girlfriend – run into major trouble in the Nevada desert."
"The Similars",2015,"90 min","Netflix","18+","5.9/10",,"Stranded in a transit station one stormy night in 1968, eight strangers begin to fall victim to seizures, only to wake up disturbingly altered."
"The Sinking Of Van Der Wijck",2013,"163 min","Netflix","16+",,,"When a young man leaves home to fulfill the wishes of his late father, he meets and falls in love with a woman from a very different background."
"The Space Between Us",2016,"120 min","Netflix","13+","6.4/10",,"After years of limited contact with Earth, an inquisitive teen who lives on Mars makes an interplanetary trek to discover his own origins."
"The Spectacular Now",2013,"95 min","Netflix","18+","7.1/10",,"Classmates Aimee and Sutter form an unlikely friendship, and after helping Aimee raise her social confidence, Sutter begins falling for his creation."
"The spiral",1978,"84 min","Netflix","18+",,,"When an unbearable stranger arrives at a winter mountain resort and vanishes overnight, his dark past comes to light."
"The Spy Who Fell to Earth",2019,"94 min","Netflix","18+","6.6/10",,"Based on Dr. Ahron Bregman's book, this documentary examines the life and mysterious death of Ashraf Marwan, an Egyptian billionaire and Israeli spy."
"The Stanford Prison Experiment",2015,"122 min","Netflix","18+","6.9/10",,"Conducting a study on the psychology of incarceration, a Stanford professor assigns guard and prisoner roles to 24 male test subjects in a mock jail."
"The Student",2017,"90 min","Netflix","16+","6.8/10",,"When a law professor fails an ambitious student for academic dishonesty, he goes to terrifying lengths to seek revenge for more than just his grade."
"The Sunshine Makers",2015,"91 min","Netflix","18+","7.0/10",,"Take a trip and witness the rise and fall of Tim Scully and Nicholas Sand, improbable pioneers of the drug counterculture during the 1960s."
"The Super",2017,"89 min","Netflix","18+","5.5/10",,"When an ex-cop becomes a superintendent of an apartment building, he suspects the sinister janitor is behind the eerie disappearances of its tenants."
"The Surrounding Game",2018,"98 min","Netflix","16+","6.7/10",,"Teens in America dedicate themselves to the Asian game of Go, which originated in ancient China, drawing meaningful life lessons along the way."
"The Taking of Pelham 123",2009,"106 min","Netflix","18+","6.4/10",,"When a group of hijackers takes passengers aboard a subway train hostage and demand a ransom, it's up to dispatcher Walter Garber to bring them down."
"The Talented Mr. Ripley",1999,"139 min","Netflix","18+","7.4/10",,"A charming sociopath maneuvers into the lush life of a young heir. But as he embraces the posh lifestyle, he'll stop at nothing to hold onto it."
"The Texas Chainsaw Massacre",1974,"83 min","Netflix","18+",,,"When some friends visit a vandalized graveyard, they come upon a chainsaw-wielding maniac, and it's a fight to the bloody death between good and evil."
"The Thief and the Imbecile",2013,"96 min","Netflix","16+",,,"A street beggar befriends a man who lost his eye in a brawl, unaware that his new acquaintance is plotting to make him his unwitting organ donor."
"The Tiger Hunter",2016,"94 min","Netflix","16+","6.0/10",,"It's 1979, and engineer Sami is excited to leave his Indian village for a job in Chicago. But he soon runs into problems achieving his American dream."
"The Tigers of Scotland",2017,"58 min","Netflix","all","6.6/10",,"This documentary highlights the endangered existence of the Scottish wildcats, and the conservation efforts required to prevent their extinction."
"The Tribes of Palos Verdes",2017,"104 min","Netflix","18+","5.9/10",,"When a move to an exclusive seaside community sends her mother and twin brother into a downward spiral, teenager Medina finds solace in surfing."
"The Trigger Effect",1996,"94 min","Netflix","18+","5.7/10",,"When a power failure throws their suburban town into chaos, Matthew and his wife stoop to desperate measures to secure medication for their child."
"The Trip to Spain",2016,"108 min","Netflix","18+","6.6/10",,"Comedians Steve Coogan and Rob Brydon gorge on local delicacies and celebrity impressions as they reunite for a hilarious road trip through Spain."
"The Trust",2015,"91 min","Netflix","18+","5.4/10",,"Discovering the location of a vault where a drug ring keeps its riches, two run-of-the-mill Las Vegas cops hatch a dicey plan to burgle it."
"The Ugly Truth",2009,"96 min","Netflix","18+","6.4/10",,"A chauvinistic morning-show commentator tries to prove the relationship theories he espouses on a segment called ""The Ugly Truth."""
"The Unborn Child",2011,"93 min","Netflix","18+","4.6/10",,"A couple and their young daughter are haunted by a paranormal, malicious presence – which is soon linked to a temple and a series of abortions."
"The Vatican Tapes",2015,"91 min","Netflix","13+","4.8/10",,"A young woman hospitalized for an infected wound becomes possessed by a satanic force that will take a priest and two Vatican exorcists to defeat."
"The Walls of the Moon",2015,"98 min","Netflix","16+","5.8/10",,"After losing her eyesight in an accident, a woman lands in a love triangle as she looks for meaning in her life."
"The Water Diviner",2014,"111 min","Netflix","18+","7.0/10",,"Years after the presumed death of his three sons in battle, a grieving farmer journeys to Turkey to find them and return them to their homeland."
"The Water Horse: Legend of the Deep",2007,"112 min","Netflix","7+","6.4/10",,"A boy watches an egg he found hatch into something incredible. But how long can he keep such a big secret from his mom – and the Scottish government?"
"The Waterboy",1998,"90 min","Netflix","13+","6.2/10",,"A water boy for a college football team has a rage that makes him a tackling machine whose bone-crushing power might vault his team into the playoffs."
"The Wedding Curse",2006,"101 min","Netflix","7+","5.9/10",,"Two weddings marred by tragedy lead the respective brides to believe that that they've been cursed by an old cultural superstition."
"The Witch",2015,"92 min","Netflix","18+","6.9/10",,"Believing that a witch has cursed their family, pilgrims homesteading on the edge of a primeval New England forest become increasingly paranoid."
"The Witch Files",2018,"88 min","Netflix","16+","4.6/10",,"A disparate group of teenage girls discovers how to obtain supernatural abilities, but abusing their newfound power has disturbing consequences."
"The Women's Balcony",2016,"100 min","Netflix","7+","6.6/10",,"A conservative rabbi steps in to lead a congregation reeling from an accident, but his controversial plans incite a gender war among the congregation."
"The Workshop",2017,"114 min","Netflix","18+","6.5/10",,"In an old shipyard town in France, sociopolitical tensions beset a writing workshop where the instructor notices a student with a dark side."
"The World Is Not Enough",1999,"128 min","Netflix","13+","6.4/10",,"Greed, revenge, world domination: It's all in a day's work for James Bond, who's on a mission to protect an oil heiress from a notorious terrorist."
"The World's Most Wanted Animal",2018,"53 min","Netflix","7+",,,"A conservationist shares her emotional journey in helping save rare, scaly mammals that have been illegally trafficked and now face extinction."
"The Young Offenders",2016,"83 min","Netflix","18+","7.1/10",,"Never ones to think things through, two Irish teens steal bicycles and set off to the coast to find a bale of cocaine from a smuggler’s capsized ship."
"Theater of Life",2016,"94 min","Netflix","7+","6.6/10",,"This documentary follows chef Massimo Bottura as he opens a soup kitchen to cook gourmet meals for the needy from food waste at the 2015 Milan Expo."
"Theeram",2017,"104 min","Netflix","16+","6.3/10",,"An auto rickshaw driver harbors a deep affection for a young woman, but his troubled past threatens to stand between them."
"Thelonious Monk: Straight, No Chaser",1988,"89 min","Netflix","13+","7.6/10",,"The spotlight shines on iconic jazz pianist and composer Thelonious Monk in this 1988 documentary featuring vintage performance clips and interviews."
"Theo Who Lived",2016,"86 min","Netflix","16+","6.8/10",,"American journalist Theo Padnos retraces the Middle Eastern journey that led to his 2012 kidnapping and brutal torture by an al-Qaida faction."
"This Is Not What I Expected",2017,"107 min","Netflix","7+","6.7/10",,"Romance and cuisine mix when a perpetually dissatisfied hotel executive finally encounters the perfect meal, and the sous chef that made it."
"This Was Tomorrow",2015,"77 min","Netflix","18+","8.0/10",,"The Tomorrowland music festival marks its 10th anniversary in Belgium, the U.S. and Brazil, with all the diverse excitement of the annual event."
"Thithi",2015,"123 min","Netflix","18+","8.2/10",,"In a South Indian village, a centenarian's funeral brings together his free-spirited son, inheritance-hungry grandson and girl-crazy great-grandson."
"Thong Dee Fun Khao",2017,"122 min","Netflix","18+",,,"After losing a boxing match, a talented Muay Thai fighter leaves home to train with the best. On his quest, he finds friends, foes and lots of action."
"Thor: Tales of Asgard",2011,"77 min","Netflix","7+","6.3/10",,"Thor, the Marvel comic book character, comes to life in this animated feature that explores his earliest adventures with his brother Loki."
"Thorne: Scaredy Cat",2010,"125 min","Netflix","18+",,,"Heading a new team whose aim is to crack the cases that leave others stumped, detective Tom Thorne finds himself on the hunt for two serial killers."
"Thorne: Sleepyhead",2010,"125 min","Netflix","18+","6.8/10",,"Investigating a series of attacks on young women, detective Tom Thorne is dragged back into the nightmares of his past as he races to find a killer."
"Three-Quarters Decent",2010,"96 min","Netflix","16+",,,"Determined to fight corruption in his country, a newspaper cartoonist debuts a new take-no-prisoners attitude."
"Thumper",2017,"93 min","Netflix","18+","5.9/10",,"After moving to a hardscrabble suburban California town, a young woman becomes dangerously entangled with a local drug enterprise."
"Thunderbolt",1947,"42 min","Netflix","7+","6.6/10",,"A P-47 Thunderbolt squadron is shown in preparation, at play and in bombing raids aiming to halt Nazi supply lines and aid Allied ground troops."
"Tik Tok",2016,"108 min","Netflix","16+","5.5/10",,"A police officer and a psychologist learn of a sinister threat at a highly anticipated soccer match and team up in hopes of preventing disaster."
"Tikli and Laxmi Bomb",2017,"151 min","Netflix","18+","7.8/10",,"Two frustrated sex workers cut out the middlemen from their business affairs and start a cooperative that's run entirely by women."
"Time Please",2013,"125 min","Netflix","16+","7.1/10",,"Personality differences, an old friend and a past flame poke holes in the way a husband and wife perceive their marriage."
"Tinker'",2018,"97 min","Netflix","16+","5.3/10",,"While building a revolutionary machine outlined in his late father's journal, a recluse farmer becomes the guardian for his gifted six-year-old nephew."
"To Be a Miss",2016,"84 min","Netflix","16+","6.4/10",,"Explore how the media and nationalism have fueled Venezuela's passion for physical appearance and the multibillion-dollar beauty pageant industry."
"To Wong Foo, Thanks for Everything! Julie Newmar",1995,"108 min","Netflix","13+","6.6/10",,"Three New York drag queens on their way to Hollywood for a beauty pageant get stranded in a small Midwestern town when their car breaks down."
"Tokyo Idols",2017,"89 min","Netflix","16+","6.9/10",,"This documentary follows J-Pop idol Rio and her predominantly middle-aged fans, and their seemingly transactional interactions."
"Tom and Jerry: The Magic Ring",2001,"60 min","Netflix","7+","6.4/10",,"When a young wizard leaves Tom to guard his priceless magic ring, Jerry gets the ring stuck on his head, igniting a series of slapstick antics."
"Tomorrow Never Dies",1997,"119 min","Netflix","13+","6.5/10",,"Pierce Brosnan stars in this 007 installment, which teams the secret agent and a sexy Chinese superspy against a megalomaniacal media mogul."
"Tope: The Bait",2016,"87 min","Netflix","16+","5.4/10",,"The tales of an eccentric aristocrat, a tightrope walking nomad and a postman-turned-soothsayer unspool in this visual poem of rural life in India."
"Total Frat Movie",2016,"94 min","Netflix","18+","4.4/10",,"A disbanded fraternity tries to get their act together by finding new members, but beer bongs, bad grades and a demented dean stand in their way."
"Traffic Signal",2007,"130 min","Netflix","18+","6.5/10",,"Four characters coexist at an urban traffic signal, where all manage to make a meager living until events threaten the source of their livelihood."
"Train of the Dead",2007,"88 min","Netflix","18+","3.5/10",,"Five teenagers on the lam hide out in an empty train. Little do they realize that the train is inhabited by ghosts on their way to final judgment."
"Trainspotting",1996,"94 min","Netflix","18+","8.1/10",,"Renton and his mates cope with the gritty realities of heroin addiction. But when Renton gets clean, he can't get away from his friends' nasty habits."
"Traitor",2008,"114 min","Netflix","13+","7.0/10",,"An FBI agent assigned to pursue an ex-Special Ops soldier who joined a terrorist organization begins to question his target's true intentions."
"Transcendence",2014,"119 min","Netflix","13+","6.2/10",,"Two computer scientists work to achieve technological singularity to create a world where computers can transcend the abilities of the human brain."
"Trash",2014,"114 min","Netflix","18+","7.2/10",,"Three poor Brazilian teens find something suspicious in a garbage heap, then end up on the run from the law as they try to set things right."
"Trash Fire",2016,"94 min","Netflix","18+","5.9/10",,"Surprise news that his girlfriend is pregnant sends loutish Owen on an ill-advised trip to reconnect with his twisted sister and sadistic grandmother."
"Treasures from the Wreck of the Unbelievable",2017,"82 min","Netflix","all","6.0/10",,"This cinematic journey into the waters off East Africa chronicles the story behind artist Damien Hirst's massive exhibition of oceanic treasures."
"Tree Man",2015,"82 min","Netflix","7+","6.7/10",,"Entrepreneurs from Vermont and Quebec sell Christmas trees on the streets of New York, becoming a cherished part of neighborhood holiday traditions."
"Tremors",1990,"96 min","Netflix","13+","7.1/10",,"After a seismologist gets unusual readings on her equipment, handymen discover 30-foot-long carnivorous worms that suck their prey underground."
"Tremors 2: Aftershocks",1995,"100 min","Netflix","13+",,,"A rag-tag team of survivalists and scientists battle supersucking desert creatures that are worming their way through the oil fields of Mexico."
"Tremors 3: Back to Perfection",2001,"104 min","Netflix","7+","5.3/10",,"When a theme park's simulated giant worm attacks turn real, Burt Gummer and two young entrepreneurs team up to battle the flesh-eating graboids."
"Tremors 4: The Legend Begins",2004,"101 min","Netflix","13+","5.3/10",,"Residents of a abandoned mining town attempt to get to the bottom of a series of recent, mysterious deaths before their own fates are sealed."
"Tremors 5:  Bloodline",2015,"99 min","Netflix","13+",,,"When he is hired to capture a deadly creature terrorizing South Africa, survivalist Burt Gummer brings along a new tech-savvy partner."
"Tremors 6: A Cold Day in Hell",2018,"98 min","Netflix","13+",,,"The subterranean, worm-like creatures are back, and Graboid-hunter Burt Gummer suspects they've been weaponized."
"Trespass Against Us",2016,"100 min","Netflix","18+","5.8/10",,"A man from a criminal family yearns to break away and find a better life, but his father's staunch opposition puts his dreams of freedom in jeopardy."
"Trikal (Past, Present, Future)",1985,"134 min","Netflix","16+","7.0/10",,"A Goan native returns to his now-derelict, palatial childhood home, recalling his family’s interpersonal drama during the end of Portuguese rule."
"Trimurti",1995,"173 min","Netflix","7+",,,"After being framed, a policewoman languishing in prison hopes that her three sons will deliver justice and restore her honor."
"Trip to Bhangarh: Asia's Most Haunted Place",2014,"113 min","Netflix","18+","2.5/10",,"To amuse themselves, six college friends decide to pay a visit to a fortress believed by some to be the most haunted place in Asia."
"Trophy",2017,"110 min","Netflix","18+","7.4/10",,"This documentary explores the tensions between the lucrative big-game hunting business and wildlife conservation from a variety of perspectives."
"Troy: The Odyssey",2017,"90 min","Netflix","18+",,,"Starting with the Trojan Horse attack, this modest re-telling of Homer's epic covers well-known highlights of Odysseus's long journey home."
"True to the Game",2017,"108 min","Netflix","18+","5.3/10",,"When a drug kingpin looking to go legit falls for a Philadelphia college student, it doesn't take long for his dangerous world to bleed into her life."
"Tucker and Dale vs. Evil",2010,"89 min","Netflix","18+",,,"Expecting to relax at their ""vacation"" cabin, two backwoods boys see their trip turn into a nightmare when they're accused of being psychotic killers."
"Tukaram",2012,"162 min","Netflix","7+","7.3/10",,"A child whose innocence and devotion set him apart from the other children of his village grows up to be one of the foremost saints of India."
"Tunisian Victory",1944,"76 min","Netflix","16+","6.7/10",,"British and American troops join forces to liberate a Nazi stranglehold in North Africa, sharing battles, hard work and a peaceful Christmas dinner."
