Titulo,Ano,Duracao,Temporadas,Plataforma,Classificacao Indicativa,IMDb,Rotten Tomatoes,Enredo
Locked Up,2015,88 min,5 Seasons,Netflix,18+,8.2/10,67/100,"Manipulated into embezzling funds for her boyfriend and sentenced to prison, a naïve young woman must quickly learn to survive in a harsh new world."
The Frankenstein Chronicles,2015,48 min,2 Seasons,Netflix,16+,7.3/10,67/100,"A detective tracks what seems to be a killer with a taste for dismemberment in 1827 London, but the case leads in a far more terrifying direction."
The Ranch,2016,30 min,8 Seasons,Netflix,16+,7.5/10,67/100,"Being a pro athlete didn't pan out for Colt. Now he's helping his dad and brother keep the ranch afloat, and figuring out how he fits into the family."
Cursed,2020,60 min,1 Season,Netflix,18+,5.9/10,67/100,"Armed with mysterious powers and a legendary sword, young rebel Nimue joins forces with charming mercenary Arthur on a mission to save her people."
Wu Assassins,2019,44 min,1 Season,Netflix,18+,6.5/10,67/100,An unassuming San Francisco chef becomes the latest in a long line of assassins chosen to keep the mystical Wu powers out of the wrong hands.
Mr. Sunshine,2018,80 min,1 Season,Netflix,18+,8.8/10,67/100,A young boy who ends up in the U.S. after the 1871 Shinmiyangyo incident returns to Korea at a historical turning point and falls for a noblewoman.
The Unicorn,2019,22 min,1 Season,Netflix,7+,7.2/10,67/100,"A widowed father of two girls navigates the world of dating, surprised to learn that many women consider him a hot commodity."
Anohana: The Flower We Saw That Day,2011,23 min,1 Season,Netflix,16+,8.2/10,67/100,A teen haunted by the spirit of an old friend summons the other members of their childhood club to help fulfill the girl's final wish.
Alice in Borderland,2020,50 min,1 Season,Netflix,15+,7.7/10,67/100,"An aimless gamer and his two friends find themselves in a parallel Tokyo, where they're forced to compete in a series of sadistic games to survive."
The Challenge,1998,30 min,2 Seasons,Netflix,16+,7.7/10,67/100,Reality show alumni must compete in grueling physical contests and survive eliminations amid cutthroat alliances and steamy hookups to win big money.
Gypsy,2017,51 min,1 Season,Netflix,18+,6.8/10,67/100,Therapist Jean Holloway develops dangerous and intimate relationships with the people in her patients' lives in this simmering psychological thriller.
Fuller House,2016,30 min,5 Seasons,Netflix,7+,6.7/10,67/100,The Tanner family’s adventures continue as DJ Tanner-Fuller shares a home with her sister Stephanie and friend Kimmy who help raise her three boys.
How to Become a Tyrant,2021,,1 Season,Netflix,,7.4/10,67/100,"Ruling with an iron fist requires an aspiring dictator to know the playbook for absolute power, as history's despots prove in this sardonic docuseries."
Killer Inside: The Mind of Aaron Hernandez,2020,202 min,1 Season,Netflix,18+,7.4/10,67/100,"Via interviews with friends, players and insiders, this docuseries examines how Aaron Hernandez went from an NFL star to a convicted killer."
RESIDENT EVIL: Infinite Darkness,2021,,1 Season,Netflix,18+,5.8/10,67/100,"Years after the horrors of Raccoon City, Leon and Claire find themselves consumed by a dark conspiracy when a viral attack ravages the White House."
1983,2018,60 min,1 Season,Netflix,18+,6.8/10,67/100,"In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades."
Wet Hot American Summer: First Day of Camp,2015,30 min,1 Seasons,Outra,16+,7.4/10,67/100,
The Baker and the Beauty,2020,43 min,1 Season,Netflix,16+,7.4/10,67/100,"A Miami baker and a fashionista try to make romance work despite the heat they face from jealous exes, prying family members and invasive paparazzi."
Spinning Out,2020,48 min,1 Season,Netflix,18+,7.6/10,67/100,"A figure skating Olympic hopeful struggles to balance love, family and fragile mental health as her dream of winning takes a dizzying hold."
Trinkets,2019,30 min,2 Seasons,Netflix,18+,7.1/10,67/100,A grieving teen finds an unexpected connection with two classmates at her new high school after they all land in the same Shoplifters Anonymous group.
Insatiable,2018,45 min,2 Seasons,Netflix,18+,6.5/10,67/100,"A bullied teenager turns to beauty pageants as a way to exact her revenge, with the help of a disgraced coach who soon realizes he's in over his head."
The Chalet,2018,52 min,1 Season,Netflix,18+,7.0/10,67/100,Friends gathered at a remote chalet in the French Alps for a summer getaway are caught in a deadly trap as a dark secret from the past comes to light.
